Time	Showa
2021-09-29 00:00	45374
2021-10-02 00:00	45299
2021-10-06 00:00	44676
2021-10-10 00:00	44998
2021-10-13 00:00	45037
2021-10-17 00:00	44533
2021-10-21 00:00	43996
2021-10-24 00:00	43897
2021-10-28 00:00	44311
2021-11-01 00:00	43995
2021-11-04 00:00	44182
2021-11-08 00:00	44194
2021-11-11 00:00	44681
2021-11-15 00:00	43625
2021-11-19 00:00	43330
2021-11-22 00:00	44148
2021-11-26 00:00	43976
2021-11-30 00:00	43644
2021-12-03 00:00	43368
2021-12-07 00:00	43626
2021-12-11 00:00	43685
2021-12-14 00:00	43365
2021-12-18 00:00	43103
2021-12-22 00:00	43223
2021-12-25 00:00	43134
2021-12-29 00:00	42921
